rule,class,projection,block,stride,e0,e1,e2,e3,e4,coverage_h4,repair_h4,raw_compression
176,II,majority,3,1,0.17334545454545455,0.13666666666666666,0.0,0.0,0.008333333333333333,0.9916666666666667,0.9519264387105797,0.06468421052631579
177,II,majority,3,1,0.11168181818181819,0.09666666666666666,0.0,0.0,0.0,1.0,1.0,0.0571578947368421
178,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.008842105263157894
179,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.008842105263157894
180,II,majority,3,1,0.43065454545454546,0.28561020036429874,0.26047445255474455,0.20885740402193784,0.2418040293040293,0.6727472527472527,0.4385197326808405,0.1386842105263158
181,II,majority,3,1,0.3346,0.2834153005464481,0.21025547445255474,0.17636197440585008,0.18804029304029304,0.8605128205128205,0.438014665151545,0.10805263157894737
182,III,majority,3,1,0.13105454545454545,0.1225591985428051,0.110757299270073,0.10861974405850092,0.10273809523809524,0.9998809523809524,0.21606614343850744,0.6895789473684211
183,III,majority,3,1,0.12973636363636365,0.12172131147540984,0.10993613138686131,0.1076416819012797,0.10163003663003663,1.0,0.21664185906355352,0.714842105263158
184,II,majority,3,1,0.04335454545454545,0.055,0.02,0.026654478976234002,0.03166666666666667,0.9299999999999999,0.2695883134130145,0.061157894736842106
185,II,majority,3,1,0.1299909090909091,0.115,0.0,0.0,0.0,1.0,1.0,0.06836842105263158
186,II,majority,3,1,0.17499090909090909,0.145,0.0,0.0,0.0,1.0,1.0,0.06868421052631579
187,II,majority,3,1,0.08504545454545455,0.09333333333333334,0.02499087591240876,0.035018281535648996,0.045,0.945,0.4708711918760022,0.06836842105263158
188,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.06526315789473684
189,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.06489473684210527
190,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.06336842105263157
191,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.06463157894736841
192,I,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.002157894736842105
193,IV,majority,3,1,0.20814545454545455,0.13234972677595627,0.08831204379562044,0.07054844606946983,0.008461538461538461,0.9983974358974359,0.9593479546309734,0.4313157894736842
194,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.05505263157894737
195,III,majority,3,1,0.49877272727272726,0.3725318761384335,0.18422445255474454,0.10361060329067642,0.07153846153846154,1.0,0.8565710239819416,1.000842105263158
196,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,0.995,,0.006526315789473684
197,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.005947368421052632
198,II,majority,3,1,0.29,0.005,0.005,0.005,0.005,0.99,0.9827586206896551,0.008
199,II,majority,3,1,0.27,0.004990892531876139,0.005,0.004990859232175503,0.005,0.99,0.9814814814814815,0.008105263157894737
200,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.006842105263157895
201,II,majority,3,1,0.08,0.0,0.0,0.0,0.0,0.995,1.0,0.00968421052631579
