A,B,dispatch,trace,K,shift,useful_inheritance,cases,same_task_map,sum_uncompiled,sum_frozen,sum_replace,sum_revisable,revision_win_uncompiled,revision_tie_uncompiled,revision_loss_uncompiled,revision_win_frozen,revision_tie_frozen,revision_loss_frozen,revision_win_replace,revision_tie_replace,revision_loss_replace
4,30,1,0,4,unchanged,1,11,11,1944,1408,1408,1405,11,0,0,3,8,0,3,8,0
4,30,1,0,16,unchanged,0,5,5,912,904,776,756,4,0,1,4,1,0,4,1,0
4,30,1,0,16,one_edit,0,20,0,4544,4640,3776,3712,16,2,2,16,4,0,16,4,0
4,30,1,0,16,far,0,55,2,15408,15576,11936,11798,55,0,0,55,0,0,50,5,0
4,30,1,0,16,far,1,121,0,37392,32504,26992,26680,121,0,0,103,18,0,98,23,0
4,30,1,0,16,one_edit,1,44,0,14656,12928,10336,10172,44,0,0,36,8,0,36,8,0
4,30,1,0,16,unchanged,1,11,11,3888,2728,2704,2689,11,0,0,3,8,0,3,8,0
4,30,1,2,1,unchanged,0,5,5,342,364,364,374,0,0,5,0,0,5,0,0,5
4,30,1,2,1,one_edit,0,20,0,1424,1520,1520,1546,2,0,18,4,0,16,4,0,16
4,30,1,2,1,far,0,55,2,4098,4356,4356,4452,0,0,55,0,0,55,0,0,55
4,30,1,2,1,far,1,121,0,15702,12014,12014,12240,121,0,0,0,0,121,0,0,121
4,30,1,2,1,one_edit,1,44,0,5776,4438,4438,4452,44,0,0,24,0,20,24,0,20
4,30,1,2,1,unchanged,1,11,11,1458,1078,1078,1100,11,0,0,0,0,11,0,0,11
4,30,1,2,4,unchanged,0,5,5,456,472,464,454,2,0,3,4,0,1,4,0,1
4,30,1,2,4,one_edit,0,20,0,2048,2144,2024,2000,8,0,12,16,0,4,16,0,4
4,30,1,2,4,far,0,55,2,6360,6600,6020,5992,42,0,13,53,0,2,32,0,23
4,30,1,2,4,far,1,121,0,20040,16112,15344,15275,121,0,0,101,0,20,76,0,45
4,30,1,2,4,one_edit,1,44,0,7552,6136,5704,5628,44,0,0,36,0,8,36,0,8
4,30,1,2,4,unchanged,1,11,11,1944,1408,1408,1427,11,0,0,0,0,11,0,0,11
4,30,1,2,16,unchanged,0,5,5,912,904,776,766,4,0,1,4,0,1,4,0,1
4,30,1,2,16,one_edit,0,20,0,4544,4640,3776,3752,16,0,4,16,0,4,16,0,4
4,30,1,2,16,far,0,55,2,15408,15576,11936,11908,55,0,0,55,0,0,32,0,23
4,30,1,2,16,far,1,121,0,37392,32504,26992,26922,121,0,0,103,0,18,76,0,45
4,30,1,2,16,one_edit,1,44,0,14656,12928,10336,10260,44,0,0,36,0,8,36,0,8
4,30,1,2,16,unchanged,1,11,11,3888,2728,2704,2711,11,0,0,3,0,8,3,0,8
4,30,1,4,1,unchanged,0,5,5,342,364,364,384,0,0,5,0,0,5,0,0,5
4,30,1,4,1,one_edit,0,20,0,1424,1520,1520,1586,0,0,20,0,0,20,0,0,20
4,30,1,4,1,far,0,55,2,4098,4356,4356,4562,0,0,55,0,0,55,0,0,55
4,30,1,4,1,far,1,121,0,15702,12014,12014,12482,121,0,0,0,0,121,0,0,121
4,30,1,4,1,one_edit,1,44,0,5776,4438,4438,4540,44,0,0,0,0,44,0,0,44
4,30,1,4,1,unchanged,1,11,11,1458,1078,1078,1122,11,0,0,0,0,11,0,0,11
4,30,1,4,4,unchanged,0,5,5,456,472,464,464,2,0,3,4,0,1,4,0,1
4,30,1,4,4,one_edit,0,20,0,2048,2144,2024,2040,8,0,12,16,0,4,8,0,12
4,30,1,4,4,far,0,55,2,6360,6600,6020,6102,41,0,14,53,0,2,12,0,43
4,30,1,4,4,far,1,121,0,20040,16112,15344,15517,121,0,0,95,4,22,31,0,90
4,30,1,4,4,one_edit,1,44,0,7552,6136,5704,5716,44,0,0,34,0,10,28,0,16
